Brand_ID,Model_ID,Segment_ID,Vehicle_Name,Year_of_Manufacture,Vehicle_Age,Insurance,Fuel_Type,Seats_Capacity,Kms_Driven,RTO_Location,Ownership,Engine_Displacement,Transmission,Power_BHP,Drive_Type,Mileage_By_Fuel_Type,New_Vehicle_Price_Lakh,Vehicle_Price_Lakh,Depreciation_Percentage,Other_Features,Value_For_Money_Score,Car_Brand,Car_Model,Segment,Value_Score_Norm,Kms_Score,Age_Score,Depreciation_Score,Recommendation_Score,Adjusted_Depreciation,Price_Advantage,Price_Anomaly_Flag,Price_Reliability_Score,Fuel_Type_clean,Transmission_clean,Segment_clean
1,1705,1,Etios,2013,12,Expired,Diesel,5,150000,Sri Ganganagar,Fourth Owner,1364.0,Manual,0.0,Unknown,0.0,8.05,2.6,67.7,No_Features,4.4,Toyota,Unknown,Sedan,0.44000000000000006,0.9919354838709677,0.7,0.32150731609540983,0.6648,67.7,0.6770186335403727,Normal,1.0,diesel,manual,sedan
1,1705,2,Glanza,2024,1,Expired,Petrol,5,10000,dasuya,First Owner,1197.0,Manual,0.0,Unknown,0.0,11.28,9.4,16.67,No_Features,10.0,Toyota,Unknown,Hatchback,1.0,0.9994623655913979,0.975,0.8329324513930647,0.8295,16.67,0.16666666666666657,Normal,1.0,petrol,manual,hatchback
2,1,3,Creta,2017,8,Comprehensive,Diesel,5,75000,Gurgaon,First Owner,1396.0,Manual,0.0,Unknown,0.0,11.86,6.25,47.3,No_Features,6.8,Hyundai,1.4 E,SUV,0.6799999999999999,0.9959677419354839,0.8,0.5259571056323913,0.7358,47.3,0.4730185497470489,Normal,1.0,diesel,manual,suv
3,2,1,Vento,2011,14,Expired,Diesel,5,160000,jalalabad,Third Owner,1598.0,Manual,103.6,Unknown,20.54,10.05,1.4,86.07,Parking Sensors,4.2,Volkswagen,Diesel,Sedan,0.42000000000000004,0.9913978494623656,0.65,0.13740228502705965,0.6859,86.07,0.8606965174129353,Normal,1.0,diesel,manual,sedan
2,3,1,Verna,2014,11,Expired,Diesel,5,120000,Meerut,First Owner,1582.0,Manual,126.3,Unknown,22.32,11.87,4.0,66.3,Automatic Climate Control | Parking Sensors,5.0,Hyundai,1.6,Sedan,0.5,0.9935483870967742,0.725,0.3355381840048106,0.6901,66.3,0.6630160067396799,Normal,1.0,diesel,manual,sedan
2,4,2,Santro,2012,13,Expired,LPG,5,147000,malout,Third Owner,1086.0,Manual,62.1,Unknown,13.45,4.71,1.0,78.77,Keyless Entry | Central Locking | Air Conditioner,4.6,Hyundai,Xing GL Plus,Hatchback,0.45999999999999996,0.9920967741935484,0.675,0.21056323912607744,0.6912,78.77,0.7876857749469215,Normal,1.0,lpg,manual,hatchback
2,1705,2,i20,2023,2,Comprehensive,Petrol,5,9400,HR98,First Owner,1197.0,Manual,0.0,Unknown,0.0,8.45,6.85,18.93,No_Features,10.0,Hyundai,Unknown,Hatchback,1.0,0.999494623655914,0.95,0.8102826217678893,0.8303,18.93,0.18934911242603547,Normal,1.0,petrol,manual,hatchback
4,5,3,Harrier,2021,4,Expired,Diesel,5,50000,Jaipur,First Owner,1956.0,Manual,167.67,Unknown,16.35,25.54,15.0,41.27,Powered Front Seats | Ventilated Seats | Height Adjustable Driver Seat | Air Purifier | Automatic Climate Control | Drive Modes | Cruise Control,7.8,Tata,XZ Plus,SUV,0.78,0.9973118279569892,0.9,0.5863900581278814,0.779,41.27,0.41268598277212215,Normal,1.0,diesel,manual,suv
4,6,3,Nexon,2019,6,Comprehensive,Diesel,5,71000,Gurgaon,Second Owner,1497.0,Manual,108.5,FWD,21.5,10.39,5.1,50.91,Parking Sensors,7.2,Tata,1.5 Revotorq,SUV,0.72,0.9961827956989248,0.85,0.489777510523151,0.7666,50.91,0.5091434071222329,Normal,1.0,diesel,manual,suv
2,7,3,Creta,2018,7,Comprehensive,Diesel,5,81000,Sirsa,Second Owner,1396.0,Manual,88.7,FWD,21.38,13.01,8.1,37.74,Rear AC Vents,7.4,Hyundai,1.4 CRDi,SUV,0.74,0.9956451612903225,0.825,0.6217678893565844,0.7444,37.74,0.377401998462721,Normal,1.0,diesel,manual,suv
